epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,47918.8,0.85862,0.97135,1.33571,0.89169,0.84803,0.90004,0.67413,0.90609,0.93342,1.39639,0.000221514,0.000221514,0.000221514
98,48410.4,0.85476,0.96367,1.32676,0.89987,0.84346,0.90014,0.67449,0.90566,0.93216,1.39632,0.000220396,0.000220396,0.000220396
99,48901.7,0.8586,0.9608,1.33021,0.89463,0.84941,0.90071,0.67483,0.90537,0.93082,1.39617,0.000219271,0.000219271,0.000219271
100,49394.4,0.85061,0.95976,1.32238,0.89321,0.84986,0.90096,0.67515,0.9052,0.9297,1.39618,0.000218139,0.000218139,0.000218139
101,49885.8,0.85462,0.9665,1.32295,0.89335,0.85119,0.90134,0.67552,0.9043,0.92785,1.39567,0.000217,0.000217,0.000217
102,50377.1,0.84635,0.9509,1.31968,0.89195,0.85254,0.90139,0.67628,0.90419,0.92703,1.39552,0.000215854,0.000215854,0.000215854
103,50868.3,0.85232,0.96283,1.3236,0.89377,0.85183,0.90137,0.67651,0.90386,0.92628,1.39525,0.000214701,0.000214701,0.000214701
104,51359.7,0.83898,0.94239,1.31559,0.89544,0.85167,0.90127,0.6765,0.90328,0.92464,1.3951,0.000213541,0.000213541,0.000213541
105,51851.8,0.83948,0.94327,1.31441,0.89369,0.85287,0.90166,0.67696,0.90258,0.92318,1.39465,0.000212375,0.000212375,0.000212375
106,52343.2,0.83735,0.94172,1.3172,0.8939,0.85293,0.90149,0.67735,0.9021,0.92216,1.39436,0.000211203,0.000211203,0.000211203
107,52835.1,0.83996,0.95085,1.31844,0.89515,0.85207,0.90143,0.67772,0.90183,0.92189,1.39432,0.000210024,0.000210024,0.000210024
108,53326.7,0.83291,0.93376,1.30628,0.89778,0.85278,0.90223,0.67858,0.90162,0.92104,1.39438,0.000208839,0.000208839,0.000208839
109,53818.6,0.83105,0.93105,1.30668,0.89875,0.85192,0.90234,0.67925,0.90095,0.92046,1.39441,0.000207648,0.000207648,0.000207648
110,54314.1,0.82922,0.93116,1.30968,0.90001,0.85133,0.90247,0.67944,0.9003,0.91877,1.39414,0.000206451,0.000206451,0.000206451
111,54807.5,0.82854,0.93685,1.31198,0.90106,0.85207,0.9028,0.67953,0.89985,0.91747,1.39389,0.000205249,0.000205249,0.000205249
112,55300.9,0.83051,0.93752,1.30925,0.90065,0.85206,0.90308,0.67981,0.89951,0.91758,1.39361,0.000204041,0.000204041,0.000204041
113,55793.1,0.82729,0.93805,1.30359,0.89739,0.85509,0.90341,0.68019,0.89879,0.91721,1.39322,0.000202827,0.000202827,0.000202827
114,56286.2,0.8255,0.91537,1.2988,0.89741,0.85569,0.90397,0.68067,0.89814,0.91571,1.39307,0.000201608,0.000201608,0.000201608
115,56780.7,0.81646,0.91133,1.29368,0.89279,0.85885,0.90382,0.68175,0.89745,0.91453,1.39263,0.000200384,0.000200384,0.000200384
116,57274.9,0.82075,0.92684,1.3021,0.89318,0.85985,0.90418,0.68199,0.89731,0.91419,1.39317,0.000199154,0.000199154,0.000199154
117,57770.1,0.80861,0.89973,1.28835,0.89299,0.85909,0.90432,0.68232,0.89701,0.91339,1.39317,0.00019792,0.00019792,0.00019792
118,58265.1,0.8078,0.90421,1.29029,0.89441,0.85844,0.90512,0.68289,0.89632,0.91208,1.39263,0.000196681,0.000196681,0.000196681
119,58760,0.80894,0.90545,1.28682,0.89393,0.85845,0.90506,0.68354,0.89578,0.91111,1.3923,0.000195437,0.000195437,0.000195437
120,59257,0.81134,0.9002,1.28332,0.89425,0.85769,0.90515,0.68417,0.89515,0.9091,1.39183,0.000194189,0.000194189,0.000194189
121,59751.6,0.80603,0.90005,1.2783,0.89339,0.85784,0.905,0.6843,0.89452,0.91019,1.39164,0.000192936,0.000192936,0.000192936
122,60245.9,0.80584,0.89189,1.27762,0.89191,0.85871,0.90469,0.68426,0.89432,0.90967,1.39135,0.000191679,0.000191679,0.000191679
123,60740.1,0.79531,0.88472,1.26956,0.89112,0.85793,0.9048,0.68441,0.8939,0.90802,1.39092,0.000190418,0.000190418,0.000190418
124,61234.3,0.79807,0.888,1.27456,0.88968,0.85807,0.90451,0.68468,0.89322,0.90706,1.39068,0.000189153,0.000189153,0.000189153
125,61727.8,0.79855,0.88911,1.27648,0.89043,0.85721,0.90476,0.68501,0.89283,0.9061,1.39093,0.000187884,0.000187884,0.000187884
126,62221.2,0.79765,0.88775,1.27237,0.88991,0.85785,0.9052,0.68563,0.89208,0.90508,1.39071,0.000186611,0.000186611,0.000186611
